Month,Peak,Gain,% Gain,Average,Avg % Gain
April 2026,"14,730",-130,-0.90%,"6,676",0.012
March 2026,"14,860","-1,437",-8.80%,"6,596",-7.40%
February 2026,"16,297","-4,027",-19.80%,"7,121",-16.20%
January 2026,"20,324",4026,0.247,"8,496",0.399
December 2025,"16,298",1898,0.132,"6,075",0.221
November 2025,"14,400",2050,0.166,"4,976",-1.20%
October 2025,"12,350",-250,-2.00%,"5,035",-2.30%
September 2025,"12,600",2471,0.244,"5,155",-1.50%
August 2025,"10,129","-1,389",-12.10%,"5,235",-15.30%
July 2025,"11,518",2127,0.226,"6,181",0.384
June 2025,"9,391",2285,0.322,"4,465",0.339
May 2025,"7,106",-398,-5.30%,"3,335",-1.80%
April 2025,"7,504","-3,611",-32.50%,"3,397",-23.10%
March 2025,"11,115","-3,197",-22.30%,"4,418",-9.10%
February 2025,"14,312",-599,-4.00%,"4,860",-12.60%
January 2025,"14,911",912,0.065,"5,560",0.147
December 2024,"13,999",3389,0.319,"4,848",0.091
November 2024,"10,610",-90,-0.80%,"4,442",-1.70%
October 2024,"10,700",-329,-3.00%,"4,519",-3.70%
September 2024,"11,029",923,0.091,"4,695",-10.00%
August 2024,"10,106",-76,-0.70%,"5,216",-0.10%
July 2024,"10,182",483,0.05,"5,223",0.128
June 2024,"9,699",1690,0.211,"4,629",0.232
May 2024,"8,009","-1,044",-11.50%,"3,756",-1.80%
April 2024,"9,053",370,0.043,"3,823",-3.30%
March 2024,"8,683",-362,-4.00%,"3,955",-4.50%
February 2024,"9,045","-2,498",-21.60%,"4,140",-11.70%
January 2024,"11,543","-1,728",-13.00%,"4,690",-0.10%
December 2023,"13,271",1359,0.114,"4,697",0.005
November 2023,"11,912","-2,178",-15.50%,"4,675",-2.30%
October 2023,"14,090",4152,0.418,"4,785",0.124
September 2023,"9,938",1263,0.146,"4,258",-7.50%
August 2023,"8,675",-682,-7.30%,"4,603",-12.50%
July 2023,"9,357",590,0.067,"5,261",0.122
June 2023,"8,767",463,0.056,"4,687",0.186
May 2023,"8,304","-1,441",-14.80%,"3,951",-10.20%
April 2023,"9,745",-763,-7.30%,"4,400",-5.10%
March 2023,"10,508","-1,299",-11.00%,"4,638",-8.60%
February 2023,"11,807","-1,370",-10.40%,"5,075",-22.30%
January 2023,"13,177","-6,115",-31.70%,"6,534",-10.50%
December 2022,"19,292",6539,0.513,"7,300",0.239
November 2022,"12,753",-947,-6.90%,"5,892",0.032
October 2022,"13,700",1484,0.121,"5,711",-
September 2022,"12,216",1291,0.118,-,-
August 2022,"10,925",-200,-1.80%,-,-
July 2022,"11,125","-1,505",-11.90%,-,-
June 2022,"12,630",-591,-4.50%,-,-
May 2022,"13,221","-3,952",-23.00%,-,-
April 2022,"17,173",4485,0.353,-,-
March 2022,"12,688","-3,483",-21.50%,-,-
February 2022,"16,171","-3,348",-17.20%,-,-
January 2022,"19,519",638,0.034,-,-
December 2021,"18,881","-7,225",-27.70%,-,-
November 2021,"26,106",11684,0.81,-,-
October 2021,"14,422","-2,583",-15.20%,-,-
September 2021,"17,005",-630,-3.60%,-,-
August 2021,"17,635","-1,999",-10.20%,-,-
July 2021,"19,634","-2,671",-12.00%,-,-
June 2021,"22,305","-6,445",-22.40%,-,-
May 2021,"28,750","-68,830",-70.50%,-,-
April 2021,"97,580","-34,964",-26.40%,-,-
March 2021,"132,544",56722,0.748,-,-
February 2021,"75,822","-45,683",-37.60%,-,-
January 2021,"121,505","-63,073",-34.20%,-,-
December 2020,"184,578","-158,426",-46.20%,-,-
November 2020,"343,004","-35,428",-9.40%,-,-
October 2020,"378,432","-69,044",-15.40%,-,-
September 2020,"447,476",373647,5.061,-,-
August 2020,"73,829",67039,9.873,-,-
July 2020,"6,790",3857,1.315,-,-
June 2020,"2,933",1680,1.341,-,-
May 2020,"1,253",403,0.474,-,-
April 2020,850,126,0.174,-,-
March 2020,724,-151,-17.30%,-,-
February 2020,875,595,2.125,-,-
January 2020,280,78,0.386,-,-
December 2019,202,-66,-24.60%,-,-
November 2019,268,-9,-3.20%,-,-
October 2019,277,-160,-36.60%,-,-
September 2019,437,-291,-40.00%,-,-
August 2019,728,164,0.291,-,-
July 2019,564,355,1.699,-,-
June 2019,209,179,5.967,-,-
May 2019,30,2,0.071,-,-
April 2019,28,-2,-6.70%,-,-
March 2019,30,3,0.111,-,-
February 2019,27,-12,-30.80%,-,-
January 2019,39,19,0.95,-,-
December 2018,20,0,0,-,-
November 2018,20,-,-,-,-